,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount,Outlier
211,5,6792,1145,662,5,6,152,29229,5,Reputation
219,5,6792,1145,662,5,103,28,1990,6,Reputation
221,5,6792,1145,662,5,125,75,29261,2,Reputation
233,5,6792,1145,662,5,423,156,64481,7,Reputation
238,5,6792,1145,662,5,562,10,1005,1,Reputation
248,5,6792,1145,662,5,898,5,725,1,Reputation
265,5,6792,1145,662,5,1826,26,2762,1,Reputation
270,5,6792,1145,662,5,1904,11,493,0,Reputation
271,5,6792,1145,662,5,1906,7,455,3,Reputation
273,5,6792,1145,662,5,1908,5,351,0,Reputation
275,5,6792,1145,662,5,1912,3,286,7,Reputation
278,5,6792,1145,662,5,2072,13,520,2,Reputation
279,5,6792,1145,662,5,2077,21,9878,0,Reputation
282,5,6792,1145,662,5,2149,22,4469,0,Reputation
284,5,6792,1145,662,5,2167,11,709,3,Reputation
286,5,6792,1145,662,5,2213,15,3182,2,Reputation
289,5,6792,1145,662,5,2245,24,1475,2,Reputation
342,8,6764,1089,604,25,1,23,1278,1,Reputation
344,8,6764,1089,604,25,36,41,67396,7,Reputation
348,8,6764,1089,604,25,114,30,1220,1,Reputation
351,8,6764,1089,604,25,168,17,1022,1,Reputation
352,8,6764,1089,604,25,170,56,7733,1,Reputation
372,8,6764,1089,604,25,1173,13,1765,5,Reputation
383,8,6764,1089,604,25,1529,8,498,2,Reputation
401,8,6764,1089,604,25,2348,15,795,4,Reputation
419,8,6764,1089,604,25,3460,29,1068,0,Reputation
421,8,6764,1089,604,25,3532,12,422,0,Reputation
424,8,6764,1089,604,25,3814,73,4526,2,Reputation
433,8,6764,1089,604,25,5184,12,1575,3,Reputation
471,13,817,178,44,1,31,66,175495,3,Reputation
473,13,817,178,44,1,175,29,28291,1,Reputation
531,25,4968,641,328,23,109,2,3980,2,Reputation
550,25,4968,641,328,23,1844,13,3142,7,Reputation
563,25,4968,641,328,23,12002,14,3883,6,Reputation
567,25,4968,641,328,23,15350,5,842,0,Reputation
573,25,4968,641,328,23,17378,3,3028,0,Reputation
578,25,4968,641,328,23,29158,10,2305,14,Reputation
584,25,4968,641,328,23,31591,21,1131,11,Reputation
588,25,4968,641,328,23,35433,2,355,1,Reputation
609,25,4968,641,328,23,65044,11,418,7,Reputation
658,25,4968,641,328,23,111283,7,367,1,Reputation
661,25,4968,641,328,23,111756,6,120,0,Reputation
666,25,4968,641,328,23,114763,31,3494,6,Reputation
671,26,3150,257,138,7,7358,16,4065,1,Reputation
681,26,3150,257,138,7,8570,8,365,0,Reputation
686,26,3150,257,138,7,10006,5,353,2,Reputation
692,26,3150,257,138,7,10421,2,52,0,Reputation
705,26,3150,257,138,7,11300,2,50,5,Reputation
727,29,2250,318,28,1,4114,8,404,2,Reputation
740,30,2185,312,40,3,841,14,1016,2,Reputation
743,30,2185,312,40,3,2772,15,1544,5,Reputation
746,30,2185,312,40,3,3898,6,597,0,Reputation
748,30,2185,312,40,3,4267,11,1166,1,Reputation
750,30,2185,312,40,3,4286,3,284,0,Reputation
751,30,2185,312,40,3,6320,3,248,5,Reputation
752,30,2185,312,40,3,6421,29,1806,5,Reputation
754,30,2185,312,40,3,7293,4,150,1,Reputation
756,30,2185,312,40,3,7364,4,97,7,Reputation
757,30,2185,312,40,3,7860,21,1926,1,Reputation
758,30,2185,312,40,3,8526,4,247,0,Reputation
759,30,2185,312,40,3,10478,7,638,3,Reputation
760,30,2185,312,40,3,10806,7,380,3,Reputation
761,30,2185,312,40,3,11537,2,182,0,Reputation
762,30,2185,312,40,3,11872,12,1210,0,Reputation
763,30,2185,312,40,3,12281,9,268,10,Reputation
766,30,2185,312,40,3,15394,6,127,4,Reputation
767,30,2185,312,40,3,15480,2,438,4,Reputation
769,30,2185,312,40,3,21850,5,718,4,Reputation
770,30,2185,312,40,3,106373,2,73,0,Reputation
799,36,1570,173,26,1,7225,12,2983,8,Reputation
800,36,1570,173,26,1,7357,16,2435,0,Reputation
801,36,1570,173,26,1,8044,13,482,8,Reputation
802,36,1570,173,26,1,10744,8,2966,2,Reputation
803,36,1570,173,26,1,13869,6,2119,0,Reputation
804,36,1570,173,26,1,14002,42,14706,0,Reputation
806,36,1570,173,26,1,17283,1,272,0,Reputation
807,36,1570,173,26,1,21071,7,161,0,Reputation
808,36,1570,173,26,1,31726,12,7912,1,Reputation
809,36,1570,173,26,1,113626,2,126,2,Reputation
816,39,1651,255,12,0,113,9,413,5,Reputation
821,39,1651,255,12,0,558,11,339,0,Reputation
839,52,861,62,12,0,5171,7,986,5,Reputation
840,52,861,62,12,0,5233,4,245,1,Reputation
841,52,861,62,12,0,5270,2,989,0,Reputation
842,52,861,62,12,0,5333,3,2375,4,Reputation
843,52,861,62,12,0,5414,16,1016,0,Reputation
844,52,861,62,12,0,6078,2,353,2,Reputation
845,52,861,62,12,0,6480,6,232,0,Reputation
846,52,861,62,12,0,6940,7,2502,3,Reputation
847,52,861,62,12,0,11093,3,983,0,Reputation
848,52,861,62,12,0,14566,1,263,1,Reputation
849,52,861,62,12,0,26088,87,11927,3,Reputation
850,52,861,62,12,0,33283,10,581,0,Reputation
851,52,861,62,12,0,38210,0,158,4,Reputation
916,61,1956,147,39,4,93,5,412,3,Reputation
950,66,614,102,12,0,22,102,21916,1,Reputation
968,71,1936,328,2317,1,173,15,2519,0,Reputation
972,71,1936,328,2317,1,1378,8,219,2,Reputation
974,71,1936,328,2317,1,2272,71,24738,2,Reputation
979,71,1936,328,2317,1,3064,9,345,4,Reputation
981,71,1936,328,2317,1,3855,5,357,0,Reputation
982,71,1936,328,2317,1,4394,9,7407,3,Reputation
991,71,1936,328,2317,1,9596,2,284,0,Reputation
1009,72,800,77,58,0,692,9,332,0,Reputation
1011,72,800,77,58,0,19066,4,200,5,Reputation
1013,72,800,77,58,0,22497,3,407,4,Reputation
1027,74,2316,1126,74,65,165,56,22890,3,Reputation
1034,74,2316,1126,74,65,363,52,5188,2,Reputation
1039,74,2316,1126,74,65,641,4,1286,2,Reputation
1045,74,2316,1126,74,65,1023,7,692,1,Reputation
1048,74,2316,1126,74,65,1525,11,13526,3,Reputation
1053,74,2316,1126,74,65,2125,26,36345,3,Reputation
1058,74,2316,1126,74,65,2358,9,8826,0,Reputation
1059,74,2316,1126,74,65,2499,18,4758,4,Reputation
1064,74,2316,1126,74,65,4734,3,2648,5,Reputation
1065,74,2316,1126,74,65,4735,8,1256,0,Reputation
1083,74,2316,1126,74,65,10251,10,1265,10,Reputation
1085,74,2316,1126,74,65,11678,6,188,0,Reputation
